repl1_input,repl1_high,repl1_med,repl1_low,repl2_input,repl2_high,repl2_med,repl2_low
101,127,133,33,3,1,2,3
32,29,22,9,2,0,2,4
22,30,15,5,4,4,8,3
597,548,811,65,119,97,107,95
67,78,76,7,12,6,5,6
93,72,126,195,156,149,193,115
0,0,0,0,102,72,117,45
48,44,67,97,8,7,9,4
18,21,16,3,4,3,1,0
324,345,347,303,10,13,11,4
36,33,45,23,11,13,17,22
371,370,325,31,199,182,207,74
5,8,7,2,181,196,171,13
16,7,6,8,26,16,21,2
408,402,427,212,13,18,6,3
9,13,20,9,117,101,122,24
235,231,231,45,379,370,403,112
0,0,0,0,313,275,331,121
0,0,0,0,148,161,141,6
0,0,0,0,294,298,330,33
148,134,154,104,22,19,20,5
4,3,1,1,63,64,50,26
117,83,120,132,1,4,5,9
6,10,7,3,175,159,204,458
252,271,228,102,504,445,479,646
2,0,3,0,66,93,88,39
34,37,40,21,4,3,3,5
0,0,0,0,0,0,0,0
133,133,130,137,2,1,1,2
12,14,14,8,56,63,59,35
19,14,17,23,37,33,42,27
314,317,295,45,44,52,45,23
235,222,235,26,2,1,3,4
8,8,9,13,83,113,84,57
6,8,6,1,28,36,51,30
49,62,58,62,22,10,17,10
274,233,304,17,305,271,314,184
113,129,98,50,5,8,2,1
31,20,47,55,11,14,12,27
32,33,29,6,0,0,0,0
10,7,5,2,0,0,0,0
26,24,31,76,0,1,0,0
21,10,23,4,169,205,170,133
113,97,89,150,138,143,159,24
35,41,30,34,8,5,8,1
10,10,5,2,7,8,6,1
0,0,0,0,64,59,83,23
303,265,324,71,237,239,333,42
269,273,292,28,61,68,54,35
42,54,46,7,146,161,114,103
0,0,0,0,27,31,32,42
2,0,5,2,0,0,0,0
8,4,5,0,0,0,0,0
13,7,14,5,65,51,58,19
90,99,89,177,602,738,540,237
14,4,8,4,319,346,305,241
466,554,409,241,336,344,323,235
242,293,240,33,95,89,104,207
27,21,19,16,23,25,26,20
669,645,671,365,180,204,171,15
5,8,3,3,102,106,95,39
32,42,34,6,11,14,5,3
44,22,56,31,0,0,0,0
491,471,466,176,0,1,0,1
61,51,65,9,102,106,71,49
0,0,0,0,13,10,14,2
297,285,231,122,158,164,168,83
162,170,152,159,1,5,4,8
93,92,94,70,3,4,3,1
51,52,34,53,6,4,2,0
292,269,377,208,0,0,0,0
4,6,7,5,85,91,67,14
3,0,1,0,28,34,46,7
4,2,1,1,113,163,137,107
0,0,0,0,77,70,85,36
7,8,6,6,141,164,149,33
59,65,107,28,205,245,157,55
9,17,14,8,15,24,18,20
185,172,167,25,21,26,24,27
129,122,117,23,33,28,20,18
432,421,383,817,7,4,7,15
25,37,20,6,20,20,17,15
64,81,73,40,11,10,13,12
0,0,0,0,16,18,30,5
255,218,238,244,19,22,17,1
37,30,36,1,166,164,136,54
139,100,137,44,59,56,62,22
29,30,34,23,344,338,356,116
0,0,0,0,49,37,46,17
119,131,96,88,53,59,61,18
0,0,0,0,28,38,30,27
224,207,236,79,14,11,21,13
0,2,2,0,2,3,6,2
6,9,14,1,66,76,65,10
0,0,0,0,0,0,0,0
2,3,4,6,460,542,411,282
1,0,1,0,101,111,104,115
78,80,85,21,27,33,19,100
30,25,19,22,41,33,51,18
0,0,0,0,28,40,25,11
56,52,65,4,757,823,729,1094
335,342,337,341,42,50,35,46
9,5,8,2,1,0,3,1
227,218,177,161,151,169,174,119
117,104,101,37,5,6,2,0
6,15,6,11,97,97,81,89
18,19,13,21,24,17,29,8
10,7,11,0,485,498,541,465
11,10,10,6,240,220,259,257
0,0,0,0,24,32,32,7
26,30,14,3,23,19,21,13
393,396,408,6,39,40,38,11
5,9,3,3,291,301,295,38
5,1,8,1,0,0,0,0
2,3,2,0,25,33,34,11
0,0,0,0,13,12,11,0
3,9,6,4,139,183,148,45
0,0,0,0,70,51,70,2
115,132,116,151,24,32,17,26
7,14,8,6,17,8,8,2
0,0,0,0,140,120,131,191
30,32,24,1,59,59,68,74
47,57,51,97,360,453,295,183
0,0,0,0,70,52,68,91
0,0,0,0,126,102,104,29
412,382,491,84,82,68,76,92
3,3,4,1,9,8,4,5
24,28,40,50,47,49,47,18
0,1,2,2,105,89,94,40
73,74,103,55,268,242,281,163
49,61,48,26,12,21,14,11
24,15,28,14,151,135,164,62
17,30,24,4,124,183,104,62
63,67,78,9,57,46,49,53
0,0,0,0,230,222,228,52
83,89,76,73,29,25,22,10
22,19,19,2,0,0,0,0
35,35,26,21,93,100,105,28
166,127,151,64,54,32,45,9
95,82,97,2,151,176,140,363
17,11,18,3,3,1,3,0
249,270,281,36,63,64,50,10
160,169,120,51,0,0,0,0
143,158,140,241,137,129,127,65
260,301,229,27,97,96,82,81
221,194,212,60,19,19,19,2
45,35,47,38,269,308,237,310
23,31,28,8,62,60,34,68
21,19,27,9,34,44,37,35
206,257,241,95,11,12,16,24
33,25,27,23,408,425,445,56
180,190,149,12,61,59,64,57
249,282,294,93,177,138,194,0
288,301,242,157,49,41,52,9
497,495,507,231,254,297,237,259
49,49,57,21,34,37,22,74
269,263,266,190,0,0,0,0
21,24,25,24,2,3,0,2
10,15,11,4,0,3,2,3
22,37,25,0,19,23,13,7
75,91,48,23,65,66,68,41
205,214,183,339,134,135,126,2
113,110,124,150,272,271,267,249
177,145,157,93,48,55,43,9
0,0,0,0,23,17,19,4
25,27,36,4,78,81,79,6
52,41,42,37,33,19,39,41
291,293,285,173,0,0,0,0
13,11,10,7,52,32,56,29
58,45,48,6,118,118,127,59
2,2,1,1,75,53,69,58
8,5,6,0,299,314,234,287
0,0,0,0,66,56,64,32
42,33,28,23,249,252,250,359
11,9,8,2,242,215,272,85
7,4,4,2,151,141,158,116
0,0,0,0,168,152,158,293
31,33,23,53,8,10,4,2
173,177,199,94,119,101,127,24
84,122,106,43,259,264,250,19
110,68,89,58,21,30,20,1
3,4,3,2,423,464,449,423
21,19,14,8,726,769,760,247
30,29,28,45,50,37,66,76
67,86,59,62,1,6,6,8
2,2,2,6,283,257,286,271
79,83,86,18,57,54,60,1
1,1,1,0,105,130,100,69
17,11,14,18,32,27,24,22
0,0,0,0,32,31,24,13
158,179,204,27,0,0,0,0
34,29,32,21,143,128,125,98
70,83,57,31,2,1,1,2
146,152,145,90,308,261,274,227
0,0,0,0,6,7,6,2
36,42,44,20,51,43,41,27
0,0,0,0,0,0,1,0
10,16,9,1,42,45,39,25
0,0,0,0,13,19,14,4
0,0,0,0,0,0,0,2
60,66,72,43,17,20,15,1
0,0,0,0,42,32,47,27
24,27,23,40,0,0,0,0
20,19,16,37,19,32,44,9
60,79,69,1,421,443,371,926
0,0,0,0,41,40,47,6
1,0,2,0,216,254,183,109
50,63,38,144,48,31,44,48
0,0,0,0,191,205,209,406
426,420,374,992,81,84,78,113
408,425,335,976,41,41,26,56
0,0,0,2,113,102,127,154
32,26,37,100,0,0,0,0
79,73,72,125,0,1,0,3
319,283,312,944,0,0,0,0
47,62,50,61,3,0,3,4
65,62,77,121,1,0,1,2
70,72,76,60,106,108,95,176
41,47,50,75,108,120,96,206
82,93,104,196,50,59,60,75
811,868,772,1598,12,14,16,19
115,126,98,137,43,41,57,92
169,159,169,184,30,27,27,33
70,53,79,93,9,9,10,11
1,0,1,0,0,0,0,0
96,101,99,236,46,46,49,163
619,665,513,1565,269,246,243,561
37,38,35,60,7,11,11,47
21,9,16,42,6,3,0,7
91,88,84,193,65,33,55,60
595,630,483,1215,68,65,75,315
25,24,31,74,7,6,16,38
217,209,225,378,11,15,16,51
52,76,46,104,17,22,26,23
74,67,90,140,24,34,31,89
18,11,19,19,0,0,0,0
40,31,54,73,2,4,5,4
0,0,0,0,3,1,1,0
94,76,83,203,0,0,0,0
79,70,69,90,69,66,64,230
0,0,0,0,0,0,0,0
3,8,6,14,0,0,0,0
233,235,263,273,0,2,0,3
96,116,103,65,0,0,0,0
8,10,12,16,0,0,0,0
415,369,370,598,0,0,0,0
5,3,3,3,0,0,0,0
16,12,10,28,122,135,136,130
6,2,4,9,200,201,192,119
236,249,266,234,19,19,19,4
6,9,5,21,174,224,167,339
209,215,191,74,76,120,105,162
4,4,5,4,127,116,97,75
132,151,127,225,172,188,125,282
75,60,81,76,33,33,37,84
515,510,450,573,0,0,0,0
0,0,0,0,151,141,135,201
95,81,83,103,99,77,119,332
190,165,212,225,90,65,64,150
66,60,39,95,269,292,241,340
184,187,211,122,46,41,43,64
44,42,38,128,247,240,239,478
111,130,82,131,6,2,2,13
51,65,54,108,41,39,34,75
216,217,197,303,10,12,17,22
106,88,97,233,41,49,40,90
75,89,60,82,7,4,7,4
271,228,310,609,61,62,64,104
420,399,462,939,15,13,8,14
8,5,6,19,118,109,116,183
71,75,58,140,154,165,123,306
10,12,20,55,205,191,237,371
298,290,381,529,164,134,125,273
0,0,0,0,448,390,451,854
14,14,5,12,23,30,28,44
46,53,46,59,37,54,33,70
66,54,57,188,70,51,66,137
0,0,0,0,18,11,15,13
243,275,276,330,11,26,14,11
40,46,48,56,6,8,6,2
31,32,32,8,148,137,124,18
40,60,40,10,0,1,1,0
38,48,53,17,158,164,150,34
251,197,263,15,46,50,56,26
386,357,413,93,0,0,0,0
163,187,129,83,0,0,0,0
155,160,155,202,25,19,20,9
130,116,115,69,61,63,64,90
112,92,178,69,340,360,327,675
61,52,87,4,64,77,51,71
235,235,282,173,223,223,211,47
43,56,64,30,11,11,10,2
74,65,72,11,7,5,11,1
330,392,317,155,26,24,18,4
344,412,367,121,16,21,17,5
0,0,0,0,32,22,28,7
173,144,136,81,0,0,0,0
20,29,34,13,381,415,348,236
0,0,0,0,76,89,67,73
49,23,61,9,156,108,126,196
77,76,81,113,0,0,0,0
66,68,59,47,62,73,51,70
157,166,202,36,113,121,123,128
206,204,188,244,3,4,4,3
0,0,0,0,0,0,0,0
249,196,286,155,55,67,69,46
211,191,239,97,58,44,61,40
1,0,0,2,140,130,121,11
146,154,151,71,31,36,36,14
208,237,170,101,0,0,0,0
58,59,74,14,0,0,0,0
2,4,4,3,51,50,67,9
5,8,7,1,3,4,3,0
0,0,0,0,81,71,65,29
91,74,104,79,0,0,0,0
271,272,263,99,3,3,2,0
79,87,55,22,22,20,23,0
9,7,11,5,55,47,33,32
0,0,0,0,37,47,45,24
0,1,1,0,49,44,53,2
45,38,52,12,9,11,17,12
83,55,104,42,0,0,0,0
2,1,0,3,578,626,547,494
104,115,72,37,83,45,104,47
3,2,1,0,139,161,134,52
114,129,113,64,0,0,0,1
443,369,533,263,170,202,166,29
120,99,111,64,289,279,303,832
121,137,114,52,67,60,66,53
8,3,10,4,204,219,257,246
185,175,190,87,87,84,72,51
165,159,170,67,3,0,1,0
26,22,22,10,38,28,52,11
35,51,66,4,99,86,97,25
103,116,79,13,49,46,52,71
0,0,0,0,50,70,45,20
6,4,4,0,0,0,0,0
3,9,2,11,167,171,136,278
94,131,73,140,22,14,18,4
22,26,24,11,111,119,123,40
164,148,139,110,42,46,33,7
1,2,0,3,0,0,0,0
90,68,82,46,53,51,59,12
27,24,25,10,70,62,59,10
0,1,0,3,1,0,1,0
44,30,54,33,1,0,0,0
13,14,11,26,1,0,1,1
360,334,312,19,16,20,15,12
26,19,12,51,27,25,27,0
260,232,294,86,5,5,8,3
216,196,203,590,188,162,200,155
723,664,726,357,7,11,10,2
221,232,161,337,25,17,26,31
19,19,17,5,43,46,58,39
15,15,20,25,56,45,64,29
1,3,1,1,70,56,67,63
312,237,388,316,278,354,269,24
3,4,5,7,75,78,63,32
15,20,19,9,24,13,19,58
90,79,103,38,405,404,370,627
52,39,46,34,194,130,206,259
0,0,0,0,54,69,58,28
84,71,93,15,0,0,0,0
206,243,214,126,58,62,64,40
0,0,0,0,314,349,288,198
454,411,434,332,0,0,0,0
3,1,1,0,152,140,150,28
53,65,58,46,113,125,140,9
44,53,59,8,0,0,0,0
25,24,21,20,23,13,22,3
20,15,21,0,132,100,110,86
206,221,201,62,10,6,14,4
0,0,0,0,1,1,0,0
69,54,53,80,0,0,0,0
56,53,35,35,78,74,69,88
235,211,245,46,529,521,516,665
5,6,7,3,185,179,182,184
79,81,76,76,74,77,94,49
137,149,157,185,3,2,2,4
49,50,44,33,82,69,95,30
60,80,66,84,160,113,131,41
446,503,373,513,4,1,2,4
207,216,227,99,3,2,11,1
76,53,62,134,19,24,22,14
49,52,56,48,66,57,75,21
9,12,14,4,74,93,69,17
8,8,9,2,28,27,33,5
169,211,170,38,201,205,226,39
0,0,0,0,40,42,27,36
79,62,91,62,157,155,148,130
86,70,74,30,264,284,195,168
79,82,59,5,2,0,1,0
0,0,0,0,283,362,259,194
14,9,11,5,75,88,77,9
3,0,1,1,31,50,47,12
8,13,4,3,8,11,16,6
0,0,0,0,6,2,8,1
0,0,0,0,66,68,69,133
8,7,5,0,155,161,147,93
252,271,249,226,0,0,0,0
408,377,398,189,92,88,106,63
0,0,0,0,56,59,51,17
0,0,0,0,93,75,114,56
33,39,29,6,362,334,311,77
189,162,165,257,50,56,61,51
495,498,546,5,231,210,226,279
2,0,1,0,6,4,3,0
57,68,75,109,0,0,0,0
7,6,7,1,7,3,4,1
67,59,82,10,5,4,2,2
69,73,83,3,204,229,258,76
0,0,0,0,93,106,73,81
2,2,0,0,312,327,298,523
231,281,200,659,54,57,53,42
0,0,0,0,4,9,9,3
0,0,0,0,408,398,387,266
60,84,80,26,250,247,218,741
41,32,48,7,145,185,160,86
302,299,237,113,17,27,25,6
40,49,49,24,0,0,0,0
122,130,144,44,278,358,260,474
84,79,78,27,123,130,146,133
140,102,125,44,253,206,280,242
23,28,20,4,25,18,20,7
77,72,97,37,211,261,152,164
148,128,136,39,577,591,571,268
66,56,91,48,0,0,0,0
113,80,78,3,71,88,82,48
355,344,354,215,66,61,90,36
40,29,38,7,347,319,364,144
7,11,10,3,28,34,34,6
112,79,100,25,43,34,47,65
290,311,253,41,122,92,117,312
172,224,144,270,0,0,0,0
168,167,210,25,28,32,39,11
0,0,0,0,18,11,20,5
53,62,48,27,7,9,8,7
20,34,24,6,0,0,0,0
84,87,97,37,208,187,234,627
437,363,518,60,51,43,43,44
99,77,89,36,0,0,0,0
0,0,0,1,129,162,125,3
223,252,190,132,52,60,66,48
260,242,243,158,46,46,48,157
148,181,136,97,125,115,118,16
98,105,100,22,0,0,0,0
82,64,95,100,121,132,131,29
0,0,0,0,0,1,0,0
400,410,344,53,0,0,1,0
34,44,36,10,246,194,259,214
80,85,79,30,261,233,266,430
2,3,2,4,15,17,13,15
74,83,82,49,149,108,185,192
10,9,8,21,171,184,180,262
254,232,229,758,90,71,72,187
7,6,9,10,51,44,43,195
126,141,167,398,245,214,200,521
59,46,69,139,144,128,171,463
12,7,20,50,48,50,40,53
0,0,0,0,1,2,2,2
0,0,0,0,23,30,25,74
39,42,42,106,548,437,561,1192
23,21,24,55,54,36,57,89
272,306,212,787,394,397,404,590
334,341,350,287,126,112,90,154
624,639,514,1943,15,8,18,26
219,180,286,939,37,44,42,147
12,18,18,29,0,0,0,0
73,73,61,186,56,51,47,69
39,32,27,17,0,0,0,0
190,166,215,442,52,85,53,111
27,25,21,39,56,56,49,109
0,0,0,0,0,0,0,0
89,84,89,200,329,342,346,638
114,108,105,231,63,55,54,157
37,30,27,83,7,4,7,5
111,110,141,221,19,17,15,36
206,216,198,402,66,69,64,290
0,0,0,0,48,68,47,51
11,9,15,24,64,59,66,190
13,25,29,52,0,0,0,0
0,0,0,0,355,331,385,943
92,60,95,180,24,21,28,37
35,44,39,78,520,433,503,1415
307,284,281,663,150,151,162,421
191,206,192,325,377,355,418,604
368,295,358,1089,200,197,200,492
29,37,40,100,145,102,97,306
17,14,30,87,2,3,7,16
130,109,120,364,34,50,45,100
0,0,0,0,36,25,35,76
36,41,34,69,23,32,21,44
246,263,225,621,154,166,165,422
0,0,0,0,42,45,47,217
0,0,0,0,392,310,426,1011
27,38,30,74,7,6,7,21
15,21,16,39,214,219,227,383
144,227,171,335,2,4,1,8
189,153,248,322,0,0,0,0
3,1,1,8,22,20,29,134
39,43,37,147,130,151,107,503
7,9,15,22,0,0,0,0
3,5,2,18,175,171,157,273
17,14,17,48,165,168,120,251
0,0,0,0,324,256,313,362
126,116,149,300,111,128,144,206
4,13,12,29,0,0,0,0
270,309,308,329,232,264,183,547
122,145,113,645,7,8,7,22
5,5,2,14,53,51,47,147
383,344,361,1189,54,63,52,143
52,46,49,157,10,4,8,7
0,0,0,0,117,115,136,410
442,452,390,927,16,14,14,47
157,117,143,419,26,19,14,59
15,9,15,13,170,143,180,443
3,4,3,7,0,0,0,0
13,14,14,21,220,228,186,455
96,98,105,404,38,24,28,103
7,8,6,21,3,2,1,2
145,99,181,740,18,23,24,50
85,105,82,168,123,100,100,229
90,87,95,175,14,5,5,13
127,130,116,397,434,392,488,597
192,194,275,320,30,26,32,53
0,0,0,0,12,12,13,21
175,165,184,479,30,37,42,76
180,160,190,316,1,0,0,9
225,200,203,497,266,292,223,714
42,22,34,142,34,22,29,133
69,59,78,115,8,9,10,20
728,817,760,980,40,27,25,43
0,0,2,0,0,0,0,0
15,13,18,37,43,43,35,121
10,11,10,35,0,0,0,0
230,234,187,397,586,458,577,1651
325,309,282,698,385,447,365,718
96,89,79,247,0,0,0,0
5,3,7,10,10,12,8,30
81,89,89,143,159,167,167,75
413,335,481,771,10,8,12,30
18,19,10,18,3,6,2,7
39,31,43,148,313,241,334,968
0,0,0,0,25,28,26,67
0,0,0,0,565,493,485,1575
24,18,35,68,133,114,116,272
238,262,225,521,129,127,107,279
308,341,284,645,0,0,0,0
1,1,0,1,25,38,33,70
176,178,174,279,71,70,64,82
132,99,128,228,74,75,72,138
62,61,58,213,15,21,18,50
12,11,11,23,177,140,181,557
688,650,633,2896,17,12,12,14
0,0,0,0,0,0,0,0
54,51,53,210,28,26,23,40
220,232,161,389,132,130,133,139
0,0,0,0,196,202,191,414
0,0,0,0,524,499,564,729
223,222,228,625,82,74,61,182
222,216,155,289,239,286,245,245
231,209,231,770,42,33,42,56
239,207,267,603,23,40,44,90
0,0,0,0,18,22,20,9
123,113,154,377,81,81,78,232
2,3,4,11,22,33,20,36
84,88,78,186,12,7,12,6
14,18,10,27,3,2,1,1
16,33,25,47,26,15,17,27
903,953,776,1658,1,2,0,2
40,49,34,117,148,127,150,430
0,0,0,0,0,0,1,0
1,6,8,12,55,60,56,179
249,256,210,692,157,159,174,148
283,309,227,691,356,373,318,573
79,80,75,115,362,314,389,969
48,52,51,82,264,205,255,1023
85,96,87,130,4,4,3,10
12,7,10,6,2,0,0,0
36,53,44,42,9,5,5,15
0,0,0,0,158,140,134,306
4,6,4,10,132,129,109,227
551,527,487,739,11,24,15,28
36,46,41,70,118,117,127,154
1,0,6,5,0,0,0,0
42,34,54,107,202,189,263,607
0,0,0,0,47,45,39,108
75,61,51,120,148,168,145,256
12,9,10,6,114,101,120,549
3,1,0,3,0,0,0,0
86,121,64,183,3,2,2,6
380,309,443,1073,3,2,1,11
87,98,82,363,62,50,69,142
8,15,5,25,64,60,57,105
119,95,113,342,2,1,1,3
333,323,324,665,0,0,0,0
76,69,89,303,37,28,34,51
10,10,7,9,57,66,78,102
198,161,195,833,118,127,109,250
226,138,218,497,222,215,186,782
19,9,9,31,0,0,0,0
197,163,182,528,0,0,0,0
65,76,80,168,49,54,41,86
90,90,109,582,14,20,10,16
0,0,0,0,75,90,83,254
373,346,392,1426,19,30,22,22
371,403,344,1077,264,216,298,426
97,92,94,127,0,0,0,0
128,144,146,205,0,0,0,0
9,7,13,15,144,141,139,538
174,178,138,664,589,572,557,2009
103,102,102,428,6,2,5,12
36,25,31,79,69,68,72,154
121,67,92,160,33,29,29,32
25,31,34,75,32,46,24,58
70,65,55,169,68,66,44,103
46,44,63,57,241,227,190,702
345,387,339,438,205,194,182,577
23,31,32,81,80,66,75,124
0,0,0,0,107,124,115,179
46,38,45,71,2,4,6,3
213,224,167,634,23,23,17,82
12,8,9,9,64,70,44,89
481,578,456,829,120,102,113,284
0,0,0,0,99,104,97,128
0,0,0,0,26,42,49,114
0,0,0,0,103,100,119,342
25,26,25,86,169,163,172,261
15,10,14,63,27,23,16,67
53,55,71,129,34,30,26,118
124,118,117,344,11,11,9,43
163,145,161,383,151,105,149,147
89,57,70,235,4,2,2,6
174,177,185,209,0,0,0,0
99,110,126,406,213,249,201,417
25,26,33,54,97,90,88,193
4,0,3,6,36,33,41,51
0,0,0,0,23,22,25,97
9,8,14,16,91,82,72,77
8,3,5,9,67,63,71,216
139,113,153,431,1,3,0,2
30,24,36,87,44,29,42,103
234,234,247,731,72,66,85,238
47,59,34,75,6,2,5,15
250,261,237,737,22,28,24,34
10,15,19,33,0,0,0,0
1,0,0,1,5,5,4,9
74,64,57,297,217,247,182,654
28,28,19,88,31,21,38,103
54,47,48,157,309,300,266,1019
80,76,54,163,190,173,223,315
17,19,18,52,103,108,106,284
2,0,7,10,13,10,15,22
231,264,253,552,56,59,43,195
183,182,164,648,2,4,3,17
24,26,18,30,0,0,0,0
25,26,26,84,718,661,712,1016
139,136,79,287,0,0,0,0
42,28,28,62,23,16,28,47
212,217,169,379,129,136,140,205
54,58,43,137,198,208,244,424
189,197,197,451,393,287,466,478
5,9,5,19,0,0,0,0
9,8,10,44,15,11,8,44
367,350,316,922,48,52,47,64
19,15,21,29,32,38,34,86
0,0,0,2,33,38,23,112
30,26,26,81,57,50,54,109
41,41,45,51,0,0,0,0
0,0,0,0,0,0,0,0
214,230,204,401,0,0,0,0
1,1,0,2,38,60,55,58
85,88,77,169,433,472,372,821
2,4,5,4,169,211,137,449
6,3,3,19,37,34,51,96
110,152,97,172,34,37,37,83
62,48,61,71,134,142,104,338
263,219,370,213,286,285,303,269
27,26,18,6,0,0,0,0
0,0,0,0,392,339,348,292
260,307,251,102,12,14,12,3
24,29,25,20,20,22,18,14
228,266,231,498,122,117,102,32
2,1,2,1,409,357,404,110
92,91,82,52,44,37,45,61
2,2,3,2,14,10,16,13
0,1,3,2,384,400,352,403
1,1,0,0,5,2,0,0
84,97,91,5,85,87,90,22
10,5,3,12,16,14,17,6
87,68,109,41,23,40,26,7
113,127,117,43,0,0,0,0
0,0,0,0,186,169,168,21
1,0,2,0,121,128,118,92
1,2,0,1,84,90,69,46
117,158,117,113,0,0,0,0
109,122,125,51,96,126,93,31
11,9,10,0,142,153,122,80
144,172,150,2,21,17,15,16
14,12,11,12,18,13,18,1
34,37,34,31,3,6,3,0
37,32,32,43,187,220,165,213
0,0,0,0,15,18,15,1
24,20,24,10,62,73,67,24
4,0,0,1,95,75,90,23
144,135,149,36,98,90,99,24
16,5,15,0,306,316,253,300
5,2,4,1,59,49,40,6
0,0,0,0,93,106,101,7
53,58,76,59,403,367,485,10
66,79,69,96,224,200,250,138
43,49,47,10,70,99,85,55
221,188,218,104,168,208,138,132
62,36,97,27,59,62,61,20
511,577,422,264,0,0,0,0
57,57,53,72,0,0,0,0
71,59,77,62,7,2,6,2
100,110,75,22,0,0,0,0
11,18,12,5,153,142,160,32
60,71,50,35,16,17,23,0
28,22,24,4,0,0,0,0
39,34,57,14,105,84,100,45
108,116,106,31,119,109,171,18
343,389,350,69,50,52,50,13
31,43,18,4,29,30,32,1
219,163,243,189,0,0,0,0
311,319,301,159,391,368,424,376
245,236,221,122,7,8,14,0
889,780,965,1535,138,144,138,143
142,163,193,87,20,22,16,12
181,141,167,252,165,169,161,37
13,13,17,13,59,61,57,5
90,98,95,97,60,50,88,67
96,99,95,14,190,189,171,83
46,57,46,3,10,12,14,3
35,35,37,65,0,0,0,0
154,166,183,109,0,0,0,0
107,137,77,113,9,8,9,6
49,44,37,56,40,44,56,23
205,225,204,182,249,261,203,248
51,44,47,45,54,28,41,9
63,70,58,50,6,4,7,5
1,3,1,0,30,14,32,5
98,97,109,50,150,150,123,170
0,0,0,0,44,40,47,23
215,188,225,152,213,205,180,25
244,274,284,101,12,24,17,9
93,92,119,13,0,0,0,0
67,62,48,11,101,70,145,206
16,21,24,13,96,79,91,46
402,437,368,284,324,372,293,317
0,0,0,0,216,210,227,42
154,148,160,64,93,108,98,88
273,227,309,176,57,45,71,93
274,308,232,16,90,106,93,8
52,50,48,25,12,7,8,8
21,21,15,13,115,145,121,45
89,91,55,22,81,88,74,49
244,216,273,313,71,65,103,102
13,8,20,2,65,67,73,1
0,0,0,0,396,457,344,230
25,14,23,15,19,20,14,2
369,394,327,317,48,41,40,29
3,5,9,21,173,197,168,454
82,104,79,97,185,225,202,553
0,0,0,0,0,0,0,0
233,216,223,536,90,70,84,121
0,0,0,0,23,22,14,26
190,166,192,505,132,122,125,476
198,145,197,302,0,0,0,0
214,189,219,383,2,3,2,5
0,0,0,0,220,228,172,343
3,8,14,19,78,67,102,170
215,225,214,692,43,33,38,122
269,252,280,267,12,12,8,19
75,54,59,86,157,152,176,182
2,4,7,9,4,5,2,3
119,113,101,193,43,33,43,54
429,411,382,1330,120,97,120,213
35,40,36,117,55,50,65,192
37,42,37,98,30,28,28,41
0,0,0,0,195,204,201,481
16,18,21,81,374,330,405,618
0,0,0,0,0,0,0,0
6,4,4,1,9,8,11,20
4,2,1,8,45,41,35,230
8,6,4,10,27,12,25,68
43,74,47,129,561,523,518,2066
184,154,169,1068,0,0,0,0
0,0,0,0,72,62,71,85
152,158,132,495,225,244,238,566
72,80,73,120,290,321,232,837
353,363,255,644,23,30,25,99
53,42,48,174,8,6,6,8
31,20,36,88,55,56,68,168
264,227,319,832,114,98,99,147
4,4,5,7,84,102,83,125
102,116,97,294,0,0,0,0
22,29,34,101,763,702,767,1618
153,140,123,291,49,46,56,69
262,268,267,364,165,114,189,401
13,14,14,45,80,78,83,141
0,0,0,0,6,6,6,15
61,60,53,174,0,0,0,0
218,245,223,332,54,74,48,53
167,123,146,679,4,9,8,22
298,293,275,495,317,323,280,737
0,0,0,0,198,154,188,499
32,42,47,117,82,68,73,152
43,32,40,123,200,198,227,603
57,60,58,51,751,689,765,1078
231,221,241,606,724,623,656,1293
479,335,475,1434,0,0,0,0
89,95,75,249,131,110,121,228
18,33,14,40,47,39,62,51
665,704,667,1290,19,20,10,18
58,70,41,274,15,21,19,29
76,61,81,256,113,107,127,158
551,559,543,2365,16,17,16,74
26,27,34,38,39,59,49,75
11,7,10,16,20,20,15,27
146,127,184,160,67,38,69,150
283,298,233,443,76,59,76,102
73,53,70,232,10,13,12,35
371,252,395,711,47,60,44,96
41,40,46,152,82,52,108,167
284,262,278,401,0,0,0,0
139,158,138,289,55,54,61,167
32,34,30,53,2,2,2,6
21,28,17,18,25,29,19,21
1,2,1,9,112,98,107,282
37,32,32,85,0,0,0,2
12,17,19,28,223,188,244,683
65,53,56,251,231,259,212,520
0,0,0,0,23,16,29,82
91,94,74,393,124,123,112,375
33,35,33,41,107,95,98,233
53,54,54,204,0,0,0,1
293,237,334,260,7,19,9,44
26,39,27,15,53,46,52,169
0,0,0,4,102,74,117,266
29,27,28,51,52,55,32,200
152,160,114,523,401,311,428,930
4,15,11,16,601,609,656,1250
95,103,91,285,3,1,2,7
128,136,128,181,93,83,116,379
11,13,16,18,0,0,0,1
60,34,62,165,31,29,27,76
167,199,181,286,0,0,0,0
0,0,0,0,422,350,388,996
0,1,1,3,489,443,566,1291
30,24,25,106,296,256,357,894
94,119,125,189,49,50,37,177
20,23,18,59,76,77,74,107
75,82,60,236,152,174,101,469
75,89,71,253,27,26,30,41
77,103,79,232,0,0,0,0
12,11,10,25,10,7,8,21
28,28,27,67,242,250,231,695
28,23,20,138,54,59,62,217
189,157,199,232,5,2,4,9
14,15,6,38,176,154,176,280
83,93,100,96,0,0,0,0
217,255,201,558,375,276,404,1035
145,149,156,338,6,3,4,13
116,109,116,270,16,10,17,32
18,15,13,52,12,21,14,23
222,206,228,554,79,78,87,169
80,79,86,97,247,268,194,948
